,am_score,bpe_lm_score,diff_config,diffusion_score,first_pass_length_penalty,first_pass_score,ngram_lm_score,ngram_lm_score_non_oov,ngram_lm_score_oov,second_pass_score,wer
2439,-0.6888247586574124,1.622863597308397,e330_euler50_n10,0.0068944758657020445,0.0,-1.0461010566645175,-1.849512150389051,-0.08160966088898886,-0.9779240951548314,0.0,0.10039446635924218
2446,-0.7357697811868508,1.459985944345271,e330_rk45_n10,0.006544856289466151,0.0,-0.6491526801462452,-1.860677581420103,-0.12091152075003021,-0.1938763695570046,0.0,0.10039446635924218
4717,-0.8596130614047662,0.3962029781697576,e330_euler10_n10,0.0009402725344777285,-0.5977662939733901,-0.21078667299230536,-0.06347684856120495,-0.12361084770396169,-0.3076773843306859,-1.8299115772604442,0.10045002500138897
2513,-0.6543951225785678,1.497972535608734,e330_euler50_n10,0.006203087102286333,0.0,-0.7477291240081658,-1.640388414821797,-0.4282734239666217,-0.9768729087351492,0.0,0.10045002500138897
4732,-0.2947397042340855,1.9617823852206329,e330_euler10_n10,0.0018996852394688566,-2.24202528720315,-0.22987598519998603,-0.43234084326050637,-0.9199290701944977,-0.20072009909881303,-1.2260957848556067,0.10045002500138897
5780,-0.40538360506097093,1.1657424390821491,e330_euler10_n10,0.0,-1.6006907416503362,0.0,-1.797374056650755,-0.42113658824064854,-0.22621310120718036,0.0,0.10045002500138897
5422,-0.8596130614047662,0.3962029781697576,e330_euler10_n10,0.0009402725344777285,-0.5977662939733901,-0.21078667299230536,-0.06347684856120495,-0.12361084770396169,-0.3076773843306859,-1.8299115772604442,0.10045002500138897
3484,-0.7123768798439871,1.451981899294601,e330_euler10_n10,0.0027972307846289785,-0.9465614224920615,-0.10132085972942807,-0.6039564723754112,-0.2862212304254084,-0.9444821112323376,-1.4123646572708226,0.10045002500138897
1926,-0.2947397042340855,1.9617823852206329,e330_euler10_n10,0.0018996852394688566,-2.24202528720315,-0.22987598519998603,-0.43234084326050637,-0.9199290701944977,-0.20072009909881303,-1.2260957848556067,0.10045002500138897
1925,-0.8596130614047662,0.3962029781697576,e330_euler10_n10,0.0009402725344777285,-0.5977662939733901,-0.21078667299230536,-0.06347684856120495,-0.12361084770396169,-0.3076773843306859,-1.8299115772604442,0.10045002500138897
5426,-0.2947397042340855,1.9617823852206329,e330_euler10_n10,0.0018996852394688566,-2.24202528720315,-0.22987598519998603,-0.43234084326050637,-0.9199290701944977,-0.20072009909881303,-1.2260957848556067,0.10045002500138897
3730,-0.7402718299018719,1.9987267981474335,e330_euler10_n10,0.0009734731806881603,-2.1999098535758215,-0.8095896392725077,-1.296030520652447,-0.16148369073077928,-0.434537025996097,-0.0298072320933922,0.10050558364353575
